M    ,CL   ,K
0.47 ,0.70 ,0.240056
0.48 ,0.70 ,0.240079
0.49 ,0.70 ,0.240102
0.5  ,0.70 ,0.240125
0.51 ,0.70 ,0.240148
0.52 ,0.70 ,0.24017
0.53 ,0.70 ,0.240193
0.54 ,0.70 ,0.240216
0.55 ,0.70 ,0.240239
0.56 ,0.70 ,0.240262
0.57 ,0.70 ,0.240285
0.58 ,0.70 ,0.240307
0.59 ,0.70 ,0.24033
0.6  ,0.70 ,0.240353
0.61 ,0.70 ,0.240376
0.62 ,0.70 ,0.240399
0.63 ,0.70 ,0.240422
0.64 ,0.70 ,0.240444
0.65 ,0.70 ,0.240467
0.66 ,0.70 ,0.24049
0.67 ,0.70 ,0.240513
0.68 ,0.70 ,0.240536
0.69 ,0.70 ,0.240558
0.7  ,0.70 ,0.240581
0.71 ,0.70 ,0.239981
0.72 ,0.70 ,0.23907
0.73 ,0.70 ,0.237762
0.74 ,0.70 ,0.236266
0.75 ,0.70 ,0.234284
0.76 ,0.70 ,0.231929
0.77 ,0.70 ,0.229015
0.78 ,0.70 ,0.225749
0.79 ,0.70 ,0.222389
0.8  ,0.70 ,0.218952
0.81 ,0.70 ,0.215515
0.82 ,0.70 ,0.212079
0.83 ,0.70 ,0.209187
0.84 ,0.70 ,0.206575
0.85 ,0.70 ,0.203964
0.86 ,0.70 ,0.201352
0.87 ,0.70 ,0.198903
0.88 ,0.70 ,0.196515
0.89 ,0.70 ,0.194127
0.9  ,0.70 ,0.191907
0.91 ,0.70 ,0.190026
0.92 ,0.70 ,0.188144
0.93 ,0.70 ,0.186263
0.94 ,0.70 ,0.184467
0.95 ,0.70 ,0.182752
0.96 ,0.70 ,0.181037
0.97 ,0.70 ,0.180074
0.98 ,0.70 ,0.179426
0.99 ,0.70 ,0.178779
1    ,0.70 ,0.17819
1.01 ,0.70 ,0.177607
1.02 ,0.70 ,0.177502
1.03 ,0.70 ,0.1775
1.04 ,0.70 ,0.17802
1.05 ,0.70 ,0.178727
1.06 ,0.70 ,0.179434
1.07 ,0.70 ,0.180141
1.08 ,0.70 ,0.181228
1.09 ,0.70 ,0.182484
1.1  ,0.70 ,0.183741
1.11 ,0.70 ,0.184998
1.12 ,0.70 ,0.186549
1.13 ,0.70 ,0.188225
1.14 ,0.70 ,0.189901
1.15 ,0.70 ,0.191577
1.16 ,0.70 ,0.193254
1.17 ,0.70 ,0.195038
1.18 ,0.70 ,0.19711
1.19 ,0.70 ,0.199183
1.2  ,0.70 ,0.201497
1.21 ,0.70 ,0.203946
1.22 ,0.70 ,0.206394
1.23 ,0.70 ,0.208842
1.24 ,0.70 ,0.21129
1.25 ,0.70 ,0.213738
1.26 ,0.70 ,0.216186
1.27 ,0.70 ,0.218635
1.28 ,0.70 ,0.221083
1.29 ,0.70 ,0.223531
1.3  ,0.70 ,0.225979
1.31 ,0.70 ,0.228427
1.32 ,0.70 ,0.230876
1.33 ,0.70 ,0.233324
1.34 ,0.70 ,0.235772
1.35 ,0.70 ,0.23822
1.36 ,0.70 ,0.240668
1.37 ,0.70 ,0.243116
1.38 ,0.70 ,0.245565
1.39 ,0.70 ,0.248013
1.4  ,0.70 ,0.250461
1.41 ,0.70 ,0.252909
